,mile,access,stations,63 wednesday,69 wednesday,281 wednesday,1233 friday,233 wednesday,283 wednesday,291 wednesday,235 wednesday,49 wednesday,237 wednesday,239 wednesday,241 wednesday,243 wednesday,245 wednesday
column-options,,,,ardp,,,,,,,,,,,,,ardp
omit,,,Note that 261 shows in Sunday trains,,,,,,,,,,,,,,
route-name,,,,,,,,,,,,,,,,,
days,,,,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP
NYP,0,,,,,,,,,,,,,,,,
YNY,14,,,,,,,,,,,,,,,,
CRT,32,,,,,,,,,,,,,,,,
POU,73,,,,,,,,,,,,,,,,
RHI,88,,,,,,,,,,,,,,,,
HUD,114,,,,,,,,,,,,,,,,
ALB,141,,,,,,,,,,,,,,,,
SDY,159,,,,,,,,,,,,,,,,
SAR,178,,,,,,,,,,,,,,,,
AMS,177,,,,,,,,,,,,,,,,
UCA,237,,,,,,,,,,,,,,,,
ROM,250,,,,,,,,,,,,,,,,
SYR,291,,,,,,,,,,,,,,,,
ROC,370,,,,,,,,,,,,,,,,
BUF,431,,,,,,,,,,,,,,,,
BFX,437,,,,,,,,,,,,,,,,
NFL,460,,,,,,,,,,,,,,,,
destination,,,,,,,,,,,,,,,,,
