,mile,access,stations,230 saturday,232 saturday,234 saturday,236 saturday,280 saturday,240 saturday,238 saturday,284 saturday,290 saturday,48 saturday,244 saturday,1246,64 saturday,68 saturday
column-options,,,,ardp,,,,,,,,,,,,,ardp
route-name,,,,,,,,,,,,,,,,,
days,,,,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,CHI,NYP,NYP,NYP,NYP
origin,,,,,,,,,,,,,,,,,
NFL,0,,,,,,,,,,,,,,,,
BFX,23,,,,,,,,,,,,,,,,
BUF,29,,,,,,,,,,,,,,,,
ROC,90,,,,,,,,,,,,,,,,
SYR,169,,,,,,,,,,,,,,,,
ROM,210,,,,,,,,,,,,,,,,
UCA,223,,,,,,,,,,,,,,,,
AMS,283,,,,,,,,,,,,,,,,
SAR,blank,,,,,,,,,,,,,,,,
SDY,301,,,,,,,,,,,,,,,,
ALB,319,,,,,,,,,,,,,,,,
HUD,346,,,,,,,,,,,,,,,,
RHI,372,,,,,,,,,,,,,,,,
POU,387,,,,,,,,,,,,,,,,
CRT,428,,,,,,,,,,,,,,,,
YNY,446,,,,,,,,,,,,,,,,
NYP,460,,,,,,,,,,,,,,,,
