,mile,access,stations,63 saturday,69 saturday,281 saturday,1233 sunday,233 saturday,283 saturday,291 saturday,235 saturday,49 saturday,237 saturday,239 saturday,241 saturday,243 saturday,245 saturday
column-options,,,,ardp,,,,,,,,,,,,,ardp
route-name,,,,,,,,,,,,,,,,,
days,,,,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP
NYP,0,,,,,,,,,,,,,,,,
YNY,14,,,,,,,,,,,,,,,,
CRT,32,,,,,,,,,,,,,,,,
POU,73,,,,,,,,,,,,,,,,
RHI,88,,,,,,,,,,,,,,,,
HUD,114,,,,,,,,,,,,,,,,
ALB,141,,,,,,,,,,,,,,,,
SDY,159,,,,,,,,,,,,,,,,
SAR,178,,,,,,,,,,,,,,,,
AMS,177,,,,,,,,,,,,,,,,
UCA,237,,,,,,,,,,,,,,,,
ROM,250,,,,,,,,,,,,,,,,
SYR,291,,,,,,,,,,,,,,,,
ROC,370,,,,,,,,,,,,,,,,
BUF,431,,,,,,,,,,,,,,,,
BFX,437,,,,,,,,,,,,,,,,
NFL,460,,,,,,,,,,,,,,,,
destination,,,,,,,,,,,,,,,,,
