,mile,,
column-options,,,
route-name,See<br>note 1,,
days,,,
updown,,,
omit,,,
NYP,0,,
NWK,10,,
MET,24,,
omit,,,
omit,,,
TRE,58,,
PHL,91,,
WIL,116,,
BAL,185,,
BWI,196,,
omit,,,
WAS,226,,
ALX,234,8,788
QAN,260,26,814
FBG,280,20,834
RVR,335,55,889
PTB,363,28,917
RMT,461,98,1015
WLN,477,16,1031
SSM,503,26,1057
RGH,532,29,1086
CYN,540,8,1094
SOP,600,60,1154
HAM,629,29,1183
CAM,702,73,1256
CLB,735,33,1289
DNK,784,49,1338
SAV,871,87,1425
JAX,1019,148,1573
PAK,1077,58,1631
DLD,1129,52,1683
WPK,1161,32,1715
ORL,1166,5,1720
KIS,1184,18,1738
LAK,1234,50,1788
TPA,1265,31,1819
LKL,1296,31,1850
WTH,1313,17,1867
SBG,1354,41,1908
OKE,1396,42,1950
WPB,1457,61,2011
DLB,1475,18,2029
DFB,1486,11,2040
FTL,1500,14,2054
HOL,1508,8,2062
MIA,1522,14,2076
