,mile, access, station,151,51,171,147,19
column-options,,,,ardp,,,,ardp
route-name,,,,,,,,
days,,,,CVS,CVS,CVS,CVS,CVS
origin,,,,,,,,
BOS,0,,,,,,,
BBY,1,,,,,,,
RTE,11,,,,,,,
PVD,43,,,,,,,
KIN,70,,,,,,,
WLY,87,,,,,,,
NLC,105,,,,,,,
OSB,123,,,,,,,
NHV,156,,,,,,,
BRP,173,,,,,,,
STM,195,,,,,,,
NRO,212,,,,,,,
NYP,231<hr>0,,,,,,,
NWK,10,,,,,,,
EWR,13,,,,,,,
MET,24,,,,,,,
NBK,32,,,,,,,
PJC,48,,,,,,,
TRE,58,,,,,,,
PHL,91,,,,,,,
WIL,116,,,,,,,
NRK,128,,,,,,,
ABE,155,,,,,,,
BAL,185,,,,,,,
BWI,196,,,,,,,
NCR,217,,,,,,,
WAS,226,,,,,,,
ALX,234,,,,,,,
BCV,247,,,,,,,
MSS,259,,,,,,,
CLP,294,,,,,,,
CVS,338,,,,,,,
LYH,399,,,,,,,
RNK,452,,,,,,,
destination,,,,,,,,
