,mile,access,stations,66 wednesday,2190,190 wednesday,2150 wednesday,110 wednesday,170 wednesday,640 wednesday,2102 wednesday,642 wednesday,2152 wednesday,130 wednesday,600 wednesday,172 wednesday,2104 wednesday,98 tuesday,112 wednesday,644 wednesday,56 wednesday,2154 wednesday,86 wednesday,646 wednesday,182 wednesday,2108 wednesday,648 wednesday,174 wednesday,2156,84 wednesday,2112 wednesday,134 wednesday,650 wednesday,2158 wednesday,184 wednesday,42 wednesday,2116 wednesday,94 wednesday,20 tuesday,2160 wednesday,148 wednesday,2118 wednesday,652 wednesday,176 wednesday,178 wednesday,2162 wednesday,2120 wednesday,654 wednesday,136 wednesday,80 wednesday,80 wednesday,656 wednesday,2124 wednesday,196 wednesday,138 wednesday,658 wednesday,50,2126,192 wednesday,2128 wednesday,626 wednesday,90 wednesday,186,624,198 wednesday
column-options,,,,ardp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
route-name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
days,,,,WAS,NYP,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL,PHL
updown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCR,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWI,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAL,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABE,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
