,mile,access,stations,65,67 wednesday,179 wednesday,151 wednesday,111 wednesday,181 wednesday,2103 wednesday,607 wednesday,89 wednesday,113 wednesday,51 wednesday,2105,2107 wednesday,641 wednesday,79 wednesday,183 wednesday,2109 wednesday,141 wednesday,2151 wednesday,185 wednesday,643 wednesday,2113 wednesday,95 wednesday,2155 wednesday,43 wednesday,119 wednesday,125 wednesday,2115 wednesday,645 wednesday,131 wednesday,2159 wednesday,171 wednesday,609 wednesday,2119 wednesday,93 wednesday,19 wednesday,647 wednesday,2163,97 wednesday,2165 wednesday,85 wednesday,649 wednesday,2123 wednesday,173 wednesday,651 wednesday,129 wednesday,2167 wednesday,653 wednesday,2127 wednesday,193 wednesday,197 wednesday,137 wednesday,55 wednesday,655 wednesday,2171 wednesday,2131 wednesday,175 wednesday,657 wednesday,639 wednesday,177 wednesday,2193
column-options,,,,ardp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
route-name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
days,,,,NYP,NYP,BOS,PHL,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP,NYP
updown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBY,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTE,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVD,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIN,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
