,mile,access,station,98 friday,164 saturday,4174,40,80 saturday,158,90,124 saturday,128 saturday
column-options,,,,ardp,,,,,,,,
route-name,,,,,,,,,,,,
days,,,,RVR,RVR,RVR,RVR,RVR,RVR,RVR,RVR,RVR
omit,,,,"the one which starts in Miami on Thu, is in RVR on Fri",,,,,,,,
origin,,,,,,,,,,,,
NFK,448,,,,,,,,,,,
PTB,363,,,,,,,,,,,
NPN,413,,,,,,,,,,,
WBG,390,,,,,,,,,,,
RVM,343,,,,,,,,,,,
RVR,335,,,,,,,,,,,
ASD,324,,,,,,,,,,,
FBG,280,,,,,,,,,,,
QAN,260,,,,,,,,,,,
WDB,250,,,,,,,,,,,
ALX,234,,,,,,,,,,,
WAS,226,,,,,,,,,,,
NCR,217,,,,,,,,,,,
BWI,196,,,,,,,,,,,
BAL,185,,,,,,,,,,,
ABE,155,,,,,,,,,,,
NRK,128,,,,,,,,,,,
WIL,116,,,,,,,,,,,
PHL,91,,,,,,,,,,,
TRE,58,,,,,,,,,,,
PJC,48,,,,,,,,,,,
NBK,32,,,,,,,,,,,
MET,24,,,,,,,,,,,
EWR,13,,,,,,,,,,,
NWK,10,,,,,,,,,,,
NYP,0<hr>231,,,,,,,,,,,
NRO,212,,,,,,,,,,,
STM,195,,,,,,,,,,,
BRP,173,,,,,,,,,,,
NHV,156,,,,,,,,,,,
OSB,123,,,,,,,,,,,
NLC,105,,,,,,,,,,,
MYS,96,,,,,,,,,,,
WLY,87,,,,,,,,,,,
KIN,70,,,,,,,,,,,
PVD,43,,,,,,,,,,,
RTE,11,,,,,,,,,,,
BBY,1,,,,,,,,,,,
BOS,0,,,,,,,,,,,
destination,,,,,,,,,,,,
