,mile,access,station,65,67 monday,89,79 monday,4141,41,95,125,93,97,4085
column-options,,,,ardp,,,,,,,,,,
route-name,,,,,,,,,,,,,,
days,,,,BOS,BOS,RVR,RVR,RVR,RVR,RVR,RVR,RVR,RVR,RVR
origin,,,,,,,,,,,,,,
BOS,0,,,,,,,,,,,,,
BBY,1,,,,,,,,,,,,,
RTE,11,,,,,,,,,,,,,
PVD,43,,,,,,,,,,,,,
KIN,70,,,,,,,,,,,,,
WLY,87,,,,,,,,,,,,,
MYS,96,,,,,,,,,,,,,
NLC,105,,,,,,,,,,,,,
OSB,123,,,,,,,,,,,,,
NHV,156,,,,,,,,,,,,,
BRP,173,,,,,,,,,,,,,
STM,195,,,,,,,,,,,,,
NRO,212,,,,,,,,,,,,,
NYP,231<hr>0,,,,,,,,,,,,,
NWK,10,,,,,,,,,,,,,
EWR,13,,,,,,,,,,,,,
MET,24,,,,,,,,,,,,,
NBK,32,,,,,,,,,,,,,
PJC,48,,,,,,,,,,,,,
TRE,58,,,,,,,,,,,,,
PHL,91,,,,,,,,,,,,,
WIL,116,,,,,,,,,,,,,
NRK,128,,,,,,,,,,,,,
ABE,155,,,,,,,,,,,,,
BAL,185,,,,,,,,,,,,,
BWI,196,,,,,,,,,,,,,
NCR,217,,,,,,,,,,,,,
WAS,226,,,,,,,,,,,,,
ALX,234,,,,,,,,,,,,,
WDB,250,,,,,,,,,,,,,
QAN,260,,,,,,,,,,,,,
FBG,280,,,,,,,,,,,,,
ASD,324,,,,,,,,,,,,,
RVR,335,,,,,,,,,,,,,
RVM,343,,,,,,,,,,,,,
WBG,390,,,,,,,,,,,,,
NPN,413,,,,,,,,,,,,,
PTB,363,,,,,,,,,,,,,
NFK,448,,,,,,,,,,,,,
destination,,,,,,,,,,,,,,
